ID;Naam;HuishoudenID;AdresID;Ingangsdatum;Einddatum
89;Rosalie Calhoun;5;89;1-1-2022;
90;Keisha Barnett;1;90;1-1-2022;
91;Keziah Conley;4;91;1-1-2022;
92;Mathew Mcgowan;5;92;1-1-2022;
93;Yunus Conway;3;93;1-1-2022;
94;Zohaib Townsend;4;94;1-1-2022;
95;Arun Gould;4;95;1-1-2022;
96;Lina Holt;3;96;1-1-2022;
97;Earl Beard;3;97;1-1-2022;
98;Marshall Hernandez;2;98;1-1-2022;
99;Anas Duncan;4;99;1-1-2022;
100;Jordan Turner;1;100;1-1-2022;
101;Caoimhe Gomez;1;101;1-1-2022;
102;Thea Vargas;4;102;1-1-2022;
103;Safa Kane;5;103;1-1-2022;
104;Sienna Best;4;104;1-1-2022;
105;Lucinda Chavez;2;105;1-1-2022;
106;Kirsty Morrow;4;106;1-1-2022;
107;Samara Ball;2;107;1-1-2022;
108;Maggie Carroll;2;108;1-1-2022;
109;Nell Patrick;3;109;1-1-2022;
110;Daniella O'Quinn;4;110;1-1-2022;
111;Bryan Rojas;1;111;1-1-2022;
112;Jacqueline Newton;4;112;1-1-2022;
113;Dominik Taylor;3;113;1-1-2022;
114;Shannon Bauer;4;114;1-1-2022;
115;Jim Rasmussen;1;115;1-1-2022;
116;Miah Doyle;3;116;1-1-2022;
117;Harri Rangel;1;117;1-1-2022;
118;Emelia Grimes;1;118;1-1-2022;
119;Kaden Hilton;2;119;1-1-2022;
120;Cameron Dickerson;1;120;1-1-2022;
121;Idris Copeland;4;121;1-1-2022;
122;Hayden Chen;2;122;1-1-2022;
123;Clayton Farrell;2;123;1-1-2022;
124;Safia Hodges;3;124;1-1-2022;
125;Brendan Suarez;5;125;1-1-2022;
126;Tim Mckee;3;126;1-1-2022;
127;Abbie Lyons;4;127;1-1-2022;
128;Morgan Short;2;128;1-1-2022;
129;Owais York;4;129;1-1-2022;
130;Grace Berry;4;130;1-1-2022;
131;Anoushka Moses;1;131;1-1-2022;
132;Ben Peters;1;132;1-1-2022;
133;Pauline Murphy;1;133;1-1-2022;
134;Liam Flores;4;134;1-1-2022;
135;Huda Greene;2;135;1-1-2022;
136;Aiza Hunter;4;136;1-1-2022;
137;Conor Buck;5;137;1-1-2022;
138;Damien Lang;1;138;1-1-2022;
139;Leanne Sparks;3;139;1-1-2022;
140;Kelvin Lamb;2;140;1-1-2022;
141;Gareth Frederick;1;141;1-1-2022;
142;Keane Carver;2;142;1-1-2022;
143;Ishaan Ford;5;143;1-1-2022;
144;Lottie Rice;3;144;1-1-2022;
145;Ioan Mayo;1;145;1-1-2022;
146;Talha Harvey;3;146;1-1-2022;
147;Montgomery Sweeney;4;147;1-1-2022;
148;Caroline Solis;2;148;1-1-2022;
149;Marilyn Grant;3;149;1-1-2022;
150;Jemima Acevedo;2;150;1-1-2022;
151;Shakira Brooks;5;151;1-1-2022;
152;Cayden Rosario;3;152;1-1-2022;
153;Shayla Garrett;4;153;1-1-2022;
154;Timothy Hunt;4;154;1-1-2022;
155;Cassie Spencer;2;155;1-1-2022;
156;Albie Warren;4;156;1-1-2022;
157;Wilbur Sears;3;157;1-1-2022;
158;Ayesha Oliver;3;158;1-1-2022;
159;Harrison Cisneros;1;159;1-1-2022;
160;Jane Ortiz;4;160;1-1-2022;
161;Daisie Hammond;4;161;1-1-2022;
162;Lili Ramsey;1;162;1-1-2022;
163;Kaleb Krueger;4;163;1-1-2022;
164;Bailey Hardin;3;164;1-1-2022;
165;Tiffany Lindsay;2;165;1-1-2022;
166;Corey Wilkinson;2;166;1-1-2022;
167;Hugh Carlson;5;167;1-1-2022;
168;Saarah Cardenas;1;168;1-1-2022;
169;Ray Haynes;1;169;1-1-2022;
170;Madeline Cook;4;170;1-1-2022;
171;Gertrude Owen;5;171;1-1-2022;
172;Abbey Stark;4;172;1-1-2022;
173;Hamza Haas;4;173;1-1-2022;
174;Imogen Medina;1;174;1-1-2022;
175;Cordelia Reed;1;175;1-1-2022;
176;Denise Roy;3;176;1-1-2022;
177;Edith O'Moore;3;177;1-1-2022;
178;Addie Friedman;2;178;1-1-2022;
179;James Harrington;3;179;1-1-2022;
180;Stephen Mcgrath;3;180;1-1-2022;
181;Luc Horton;2;181;1-1-2022;
182;Emmie Mcdowell;2;182;1-1-2022;
183;Mathilda Manning;4;183;1-1-2022;
184;Roosevelt Wiley;4;184;1-1-2022;
185;Louis Massey;4;185;1-1-2022;
186;Yusra Galvan;2;186;1-1-2022;
187;Elisabeth Mullins;1;187;1-1-2022;
188;Lennon Yoder;1;188;1-1-2022;
189;Rosalie Calhoun;4;189;1-1-2022;
190;Keisha Barnett;1;190;1-1-2022;
191;Keziah Conley;3;191;1-1-2022;
192;Mathew Mcgowan;5;192;1-1-2022;
193;Yunus Conway;3;193;1-1-2022;
194;Zohaib Townsend;2;194;1-1-2022;
195;Arun Gould;5;195;1-1-2022;
196;Lina Holt;4;196;1-1-2022;
197;Earl Beard;3;197;1-1-2022;
198;Marshall Hernandez;1;198;1-1-2022;
199;Anas Duncan;2;199;1-1-2022;
200;Jordan Turner;4;200;1-1-2022;
201;Caoimhe Gomez;2;201;1-1-2022;
202;Thea Vargas;1;202;1-1-2022;
203;Safa Kane;4;203;1-1-2022;
204;Sienna Best;1;204;1-1-2022;
205;Lucinda Chavez;5;205;1-1-2022;
206;Kirsty Morrow;2;206;1-1-2022;
207;Samara Ball;2;207;1-1-2022;
208;Maggie Carroll;1;208;1-1-2022;
209;Nell Patrick;1;209;1-1-2022;
210;Daniella O'Quinn;5;210;1-1-2022;
211;Bryan Rojas;1;211;1-1-2022;
212;Jacqueline Newton;1;212;1-1-2022;
213;Dominik Taylor;2;213;1-1-2022;
214;Shannon Bauer;4;214;1-1-2022;
215;Jim Rasmussen;3;215;1-1-2022;
216;Miah Doyle;1;216;1-1-2022;
217;Harri Rangel;3;217;1-1-2022;
218;Emelia Grimes;1;218;1-1-2022;
219;Kaden Hilton;4;219;1-1-2022;
220;Cameron Dickerson;5;220;1-1-2022;
221;Idris Copeland;3;221;1-1-2022;
222;Hayden Chen;4;222;1-1-2022;
223;Clayton Farrell;1;223;1-1-2022;
224;Safia Hodges;1;224;1-1-2022;
225;Brendan Suarez;1;225;1-1-2022;
226;Tim Mckee;3;226;1-1-2022;
227;Abbie Lyons;3;227;1-1-2022;
228;Morgan Short;5;228;1-1-2022;
229;Owais York;2;229;1-1-2022;
230;Grace Berry;4;230;1-1-2022;
231;Anoushka Moses;4;231;1-1-2022;
232;Ben Peters;3;232;1-1-2022;
233;Pauline Murphy;3;233;1-1-2022;
234;Liam Flores;4;234;1-1-2022;
235;Huda Greene;3;235;1-1-2022;
236;Aiza Hunter;4;236;1-1-2022;
237;Conor Buck;1;237;1-1-2022;
238;Damien Lang;3;238;1-1-2022;
239;Leanne Sparks;4;239;1-1-2022;
240;Kelvin Lamb;2;240;1-1-2022;
241;Gareth Frederick;3;241;1-1-2022;
242;Keane Carver;2;242;1-1-2022;
243;Ishaan Ford;1;243;1-1-2022;
244;Lottie Rice;1;244;1-1-2022;
245;Ioan Mayo;4;245;1-1-2022;
246;Talha Harvey;3;246;1-1-2022;
247;Montgomery Sweeney;2;247;1-1-2022;
248;Caroline Solis;1;248;1-1-2022;
249;Marilyn Grant;2;249;1-1-2022;
250;Jemima Acevedo;1;250;1-1-2022;
251;Shakira Brooks;5;251;1-1-2022;
252;Cayden Rosario;3;252;1-1-2022;
253;Shayla Garrett;2;253;1-1-2022;
254;Timothy Hunt;5;254;1-1-2022;
255;Cassie Spencer;2;255;1-1-2022;
256;Albie Warren;4;256;1-1-2022;
257;Wilbur Sears;1;257;1-1-2022;
258;Ayesha Oliver;4;258;1-1-2022;
259;Harrison Cisneros;5;259;1-1-2022;
260;Jane Ortiz;2;260;1-1-2022;
261;Daisie Hammond;5;261;1-1-2022;
262;Lili Ramsey;3;262;1-1-2022;
263;Kaleb Krueger;1;263;1-1-2022;
264;Bailey Hardin;4;264;1-1-2022;
265;Tiffany Lindsay;2;265;1-1-2022;
266;Corey Wilkinson;3;266;1-1-2022;
267;Hugh Carlson;1;267;1-1-2022;
268;Saarah Cardenas;2;268;1-1-2022;
269;Ray Haynes;4;269;1-1-2022;
270;Madeline Cook;1;270;1-1-2022;
271;Gertrude Owen;5;271;1-1-2022;
272;Abbey Stark;4;272;1-1-2022;
273;Hamza Haas;1;273;1-1-2022;
274;Imogen Medina;2;274;1-1-2022;
275;Cordelia Reed;1;275;1-1-2022;
276;Denise Roy;5;276;1-1-2022;
277;Edith O'Moore;1;277;1-1-2022;
278;Addie Friedman;5;278;1-1-2022;
279;James Harrington;5;279;1-1-2022;
280;Stephen Mcgrath;3;280;1-1-2022;
281;Luc Horton;3;281;1-1-2022;
282;Emmie Mcdowell;1;282;1-1-2022;
283;Mathilda Manning;5;283;1-1-2022;
284;Roosevelt Wiley;3;284;1-1-2022;
285;Louis Massey;3;285;1-1-2022;
286;Yusra Galvan;4;286;1-1-2022;
287;Elisabeth Mullins;3;287;1-1-2022;
288;Lennon Yoder;1;288;1-1-2022;
289;Rosalie Calhoun;2;289;1-1-2022;
290;Keisha Barnett;3;290;1-1-2022;
291;Keziah Conley;5;291;1-1-2022;
292;Mathew Mcgowan;5;292;1-1-2022;
293;Yunus Conway;5;293;1-1-2022;
294;Zohaib Townsend;5;294;1-1-2022;
295;Arun Gould;2;295;1-1-2022;
296;Lina Holt;5;296;1-1-2022;
297;Earl Beard;4;297;1-1-2022;
298;Marshall Hernandez;4;298;1-1-2022;
299;Anas Duncan;3;299;1-1-2022;
300;Jordan Turner;3;300;1-1-2022;
301;Caoimhe Gomez;2;301;1-1-2022;
302;Thea Vargas;3;302;1-1-2022;
303;Safa Kane;4;303;1-1-2022;
304;Sienna Best;5;304;1-1-2022;
305;Lucinda Chavez;4;305;1-1-2022;
306;Kirsty Morrow;5;306;1-1-2022;
307;Samara Ball;3;307;1-1-2022;
308;Maggie Carroll;3;308;1-1-2022;
309;Nell Patrick;3;309;1-1-2022;
310;Daniella O'Quinn;5;310;1-1-2022;
311;Bryan Rojas;2;311;1-1-2022;
312;Jacqueline Newton;1;312;1-1-2022;
313;Dominik Taylor;3;313;1-1-2022;
314;Shannon Bauer;5;314;1-1-2022;
315;Jim Rasmussen;1;315;1-1-2022;
316;Miah Doyle;1;316;1-1-2022;
317;Harri Rangel;2;317;1-1-2022;
318;Emelia Grimes;1;318;1-1-2022;
319;Kaden Hilton;5;319;1-1-2022;
320;Cameron Dickerson;5;320;1-1-2022;
321;Idris Copeland;1;321;1-1-2022;
322;Hayden Chen;4;322;1-1-2022;
323;Clayton Farrell;1;323;1-1-2022;
324;Safia Hodges;5;324;1-1-2022;
325;Brendan Suarez;5;325;1-1-2022;
326;Tim Mckee;5;326;1-1-2022;
327;Abbie Lyons;4;327;1-1-2022;
328;Morgan Short;5;328;1-1-2022;
329;Owais York;1;329;1-1-2022;
330;Grace Berry;1;330;1-1-2022;
331;Anoushka Moses;3;331;1-1-2022;
332;Ben Peters;5;332;1-1-2022;
333;Pauline Murphy;2;333;1-1-2022;
334;Liam Flores;4;334;1-1-2022;
335;Huda Greene;1;335;1-1-2022;
336;Aiza Hunter;4;336;1-1-2022;
337;Conor Buck;5;337;1-1-2022;
338;Damien Lang;4;338;1-1-2022;
339;Leanne Sparks;2;339;1-1-2022;
340;Kelvin Lamb;1;340;1-1-2022;
341;Gareth Frederick;4;341;1-1-2022;
342;Keane Carver;4;342;1-1-2022;
343;Ishaan Ford;1;343;1-1-2022;
344;Lottie Rice;5;344;1-1-2022;
345;Ioan Mayo;4;345;1-1-2022;
346;Talha Harvey;2;346;1-1-2022;
347;Montgomery Sweeney;2;347;1-1-2022;
348;Caroline Solis;2;348;1-1-2022;
349;Marilyn Grant;5;349;1-1-2022;
350;Jemima Acevedo;4;350;1-1-2022;
351;Shakira Brooks;1;351;1-1-2022;
352;Cayden Rosario;2;352;1-1-2022;
353;Shayla Garrett;5;353;1-1-2022;
354;Timothy Hunt;2;354;1-1-2022;
355;Cassie Spencer;3;355;1-1-2022;
356;Albie Warren;4;356;1-1-2022;
357;Wilbur Sears;5;357;1-1-2022;
358;Ayesha Oliver;5;358;1-1-2022;
359;Harrison Cisneros;4;359;1-1-2022;
360;Jane Ortiz;3;360;1-1-2022;
361;Daisie Hammond;2;361;1-1-2022;
362;Lili Ramsey;3;362;1-1-2022;
363;Kaleb Krueger;1;363;1-1-2022;
364;Bailey Hardin;1;364;1-1-2022;
365;Tiffany Lindsay;4;365;1-1-2022;
366;Corey Wilkinson;5;366;1-1-2022;
367;Hugh Carlson;4;367;1-1-2022;
368;Saarah Cardenas;2;368;1-1-2022;
369;Ray Haynes;2;369;1-1-2022;
370;Madeline Cook;2;370;1-1-2022;
371;Gertrude Owen;1;371;1-1-2022;
372;Abbey Stark;1;372;1-1-2022;
373;Hamza Haas;3;373;1-1-2022;
374;Imogen Medina;2;374;1-1-2022;
375;Cordelia Reed;4;375;1-1-2022;
376;Denise Roy;1;376;1-1-2022;
377;Edith O'Moore;3;377;1-1-2022;
378;Addie Friedman;5;378;1-1-2022;
379;James Harrington;2;379;1-1-2022;
380;Stephen Mcgrath;1;380;1-1-2022;
381;Luc Horton;1;381;1-1-2022;
382;Emmie Mcdowell;1;382;1-1-2022;
383;Mathilda Manning;4;383;1-1-2022;
384;Roosevelt Wiley;3;384;1-1-2022;
385;Louis Massey;5;385;1-1-2022;
386;Yusra Galvan;4;386;1-1-2022;
387;Elisabeth Mullins;2;387;1-1-2022;
388;Lennon Yoder;5;388;1-1-2022;
389;Rosalie Calhoun;1;389;1-1-2022;
390;Keisha Barnett;1;390;1-1-2022;
391;Keziah Conley;2;391;1-1-2022;
392;Mathew Mcgowan;1;392;1-1-2022;
393;Yunus Conway;2;393;1-1-2022;
394;Zohaib Townsend;3;394;1-1-2022;
395;Arun Gould;4;395;1-1-2022;
396;Lina Holt;5;396;1-1-2022;
397;Earl Beard;5;397;1-1-2022;
398;Marshall Hernandez;3;398;1-1-2022;
399;Anas Duncan;2;399;1-1-2022;
400;Jordan Turner;2;400;1-1-2022;
401;Caoimhe Gomez;4;401;1-1-2022;
402;Thea Vargas;5;402;1-1-2022;
403;Safa Kane;5;403;1-1-2022;
404;Sienna Best;3;404;1-1-2022;
405;Lucinda Chavez;2;405;1-1-2022;
406;Kirsty Morrow;4;406;1-1-2022;
407;Samara Ball;2;407;1-1-2022;
408;Maggie Carroll;5;408;1-1-2022;
409;Nell Patrick;1;409;1-1-2022;
410;Daniella O'Quinn;5;410;1-1-2022;
411;Bryan Rojas;1;411;1-1-2022;
412;Jacqueline Newton;5;412;1-1-2022;
413;Dominik Taylor;2;413;1-1-2022;
414;Shannon Bauer;3;414;1-1-2022;
415;Jim Rasmussen;3;415;1-1-2022;
416;Miah Doyle;3;416;1-1-2022;
417;Harri Rangel;1;417;1-1-2022;
418;Emelia Grimes;2;418;1-1-2022;
419;Kaden Hilton;2;419;1-1-2022;
420;Cameron Dickerson;3;420;1-1-2022;
421;Idris Copeland;4;421;1-1-2022;
422;Hayden Chen;2;422;1-1-2022;
423;Clayton Farrell;4;423;1-1-2022;
424;Safia Hodges;5;424;1-1-2022;
425;Brendan Suarez;5;425;1-1-2022;
426;Tim Mckee;2;426;1-1-2022;
427;Abbie Lyons;1;427;1-1-2022;
428;Morgan Short;2;428;1-1-2022;
429;Owais York;3;429;1-1-2022;
430;Grace Berry;3;430;1-1-2022;
431;Anoushka Moses;2;431;1-1-2022;
432;Ben Peters;5;432;1-1-2022;
433;Pauline Murphy;5;433;1-1-2022;
434;Liam Flores;3;434;1-1-2022;
435;Huda Greene;4;435;1-1-2022;
436;Aiza Hunter;4;436;1-1-2022;
437;Conor Buck;2;437;1-1-2022;
438;Damien Lang;1;438;1-1-2022;
439;Leanne Sparks;3;439;1-1-2022;
440;Kelvin Lamb;2;440;1-1-2022;
441;Gareth Frederick;4;441;1-1-2022;
442;Keane Carver;4;442;1-1-2022;
443;Ishaan Ford;4;443;1-1-2022;
444;Lottie Rice;1;444;1-1-2022;
445;Ioan Mayo;4;445;1-1-2022;
446;Talha Harvey;5;446;1-1-2022;
447;Montgomery Sweeney;2;447;1-1-2022;
448;Caroline Solis;4;448;1-1-2022;
449;Marilyn Grant;2;449;1-1-2022;
450;Jemima Acevedo;1;450;1-1-2022;
451;Shakira Brooks;5;451;1-1-2022;
452;Cayden Rosario;1;452;1-1-2022;
453;Shayla Garrett;4;453;1-1-2022;
454;Timothy Hunt;3;454;1-1-2022;
455;Cassie Spencer;1;455;1-1-2022;
456;Albie Warren;3;456;1-1-2022;
457;Wilbur Sears;5;457;1-1-2022;
458;Ayesha Oliver;2;458;1-1-2022;
459;Harrison Cisneros;4;459;1-1-2022;
460;Jane Ortiz;2;460;1-1-2022;
461;Daisie Hammond;5;461;1-1-2022;
462;Lili Ramsey;5;462;1-1-2022;
463;Kaleb Krueger;1;463;1-1-2022;
464;Bailey Hardin;4;464;1-1-2022;
465;Tiffany Lindsay;4;465;1-1-2022;
466;Corey Wilkinson;4;466;1-1-2022;
467;Hugh Carlson;2;467;1-1-2022;
468;Saarah Cardenas;5;468;1-1-2022;
469;Ray Haynes;2;469;1-1-2022;
470;Madeline Cook;2;470;1-1-2022;
471;Gertrude Owen;2;471;1-1-2022;
472;Abbey Stark;5;472;1-1-2022;
473;Hamza Haas;3;473;1-1-2022;
474;Imogen Medina;3;474;1-1-2022;
475;Cordelia Reed;2;475;1-1-2022;
476;Denise Roy;3;476;1-1-2022;
477;Edith O'Moore;5;477;1-1-2022;
478;Addie Friedman;5;478;1-1-2022;
479;James Harrington;2;479;1-1-2022;
480;Stephen Mcgrath;1;480;1-1-2022;
481;Luc Horton;1;481;1-1-2022;
482;Emmie Mcdowell;2;482;1-1-2022;
483;Mathilda Manning;2;483;1-1-2022;
484;Roosevelt Wiley;2;484;1-1-2022;
485;Louis Massey;1;485;1-1-2022;
486;Yusra Galvan;3;486;1-1-2022;
487;Elisabeth Mullins;3;487;1-1-2022;
488;Lennon Yoder;1;488;1-1-2022;
489;Rosalie Calhoun;3;489;1-1-2022;
490;Keisha Barnett;2;490;1-1-2022;
491;Keziah Conley;5;491;1-1-2022;
492;Mathew Mcgowan;1;492;1-1-2022;
493;Yunus Conway;1;493;1-1-2022;
494;Zohaib Townsend;4;494;1-1-2022;
495;Arun Gould;2;495;1-1-2022;
496;Lina Holt;4;496;1-1-2022;
497;Earl Beard;2;497;1-1-2022;
498;Marshall Hernandez;2;498;1-1-2022;
499;Anas Duncan;3;499;1-1-2022;
500;Jordan Turner;4;500;1-1-2022;
501;Caoimhe Gomez;1;501;1-1-2022;
502;Thea Vargas;1;502;1-1-2022;
503;Safa Kane;2;503;1-1-2022;
504;Sienna Best;3;504;1-1-2022;
505;Lucinda Chavez;4;505;1-1-2022;
506;Kirsty Morrow;5;506;1-1-2022;
507;Samara Ball;1;507;1-1-2022;
508;Maggie Carroll;2;508;1-1-2022;
509;Nell Patrick;2;509;1-1-2022;
510;Daniella O'Quinn;2;510;1-1-2022;
511;Bryan Rojas;2;511;1-1-2022;
512;Jacqueline Newton;1;512;1-1-2022;
513;Dominik Taylor;1;513;1-1-2022;
514;Shannon Bauer;2;514;1-1-2022;
515;Jim Rasmussen;4;515;1-1-2022;
516;Miah Doyle;3;516;1-1-2022;
517;Harri Rangel;4;517;1-1-2022;
518;Emelia Grimes;2;518;1-1-2022;
519;Kaden Hilton;1;519;1-1-2022;
520;Cameron Dickerson;4;520;1-1-2022;
521;Idris Copeland;3;521;1-1-2022;
522;Hayden Chen;5;522;1-1-2022;
523;Clayton Farrell;5;523;1-1-2022;
524;Safia Hodges;4;524;1-1-2022;
525;Brendan Suarez;3;525;1-1-2022;
526;Tim Mckee;5;526;1-1-2022;
527;Abbie Lyons;3;527;1-1-2022;
528;Morgan Short;4;528;1-1-2022;
529;Owais York;1;529;1-1-2022;
530;Grace Berry;5;530;1-1-2022;
531;Anoushka Moses;4;531;1-1-2022;
532;Ben Peters;4;532;1-1-2022;
533;Pauline Murphy;5;533;1-1-2022;
534;Liam Flores;5;534;1-1-2022;
535;Huda Greene;3;535;1-1-2022;
536;Aiza Hunter;4;536;1-1-2022;
537;Conor Buck;4;537;1-1-2022;
538;Damien Lang;1;538;1-1-2022;
539;Leanne Sparks;5;539;1-1-2022;
540;Kelvin Lamb;5;540;1-1-2022;
541;Gareth Frederick;5;541;1-1-2022;
542;Keane Carver;3;542;1-1-2022;
543;Ishaan Ford;2;543;1-1-2022;
544;Lottie Rice;5;544;1-1-2022;
545;Ioan Mayo;3;545;1-1-2022;
546;Talha Harvey;1;546;1-1-2022;
547;Montgomery Sweeney;2;547;1-1-2022;
548;Caroline Solis;1;548;1-1-2022;
549;Marilyn Grant;3;549;1-1-2022;
550;Jemima Acevedo;4;550;1-1-2022;
551;Shakira Brooks;4;551;1-1-2022;
552;Cayden Rosario;3;552;1-1-2022;
553;Shayla Garrett;4;553;1-1-2022;
554;Timothy Hunt;2;554;1-1-2022;
555;Cassie Spencer;3;555;1-1-2022;
556;Albie Warren;3;556;1-1-2022;
557;Wilbur Sears;5;557;1-1-2022;
558;Ayesha Oliver;2;558;1-1-2022;
559;Harrison Cisneros;4;559;1-1-2022;
560;Jane Ortiz;5;560;1-1-2022;
561;Daisie Hammond;4;561;1-1-2022;
562;Lili Ramsey;5;562;1-1-2022;
563;Kaleb Krueger;3;563;1-1-2022;
564;Bailey Hardin;3;564;1-1-2022;
565;Tiffany Lindsay;5;565;1-1-2022;
566;Corey Wilkinson;2;566;1-1-2022;
567;Hugh Carlson;5;567;1-1-2022;
568;Saarah Cardenas;5;568;1-1-2022;
569;Ray Haynes;4;569;1-1-2022;
570;Madeline Cook;3;570;1-1-2022;
571;Gertrude Owen;5;571;1-1-2022;
572;Abbey Stark;2;572;1-1-2022;
573;Hamza Haas;5;573;1-1-2022;
574;Imogen Medina;3;574;1-1-2022;
575;Cordelia Reed;5;575;1-1-2022;
576;Denise Roy;2;576;1-1-2022;
577;Edith O'Moore;4;577;1-1-2022;
578;Addie Friedman;2;578;1-1-2022;
579;James Harrington;3;579;1-1-2022;
580;Stephen Mcgrath;3;580;1-1-2022;
581;Luc Horton;4;581;1-1-2022;
582;Emmie Mcdowell;1;582;1-1-2022;
583;Mathilda Manning;3;583;1-1-2022;
584;Roosevelt Wiley;4;584;1-1-2022;
585;Louis Massey;5;585;1-1-2022;
586;Yusra Galvan;4;586;1-1-2022;
587;Elisabeth Mullins;2;587;1-1-2022;
588;Lennon Yoder;2;588;1-1-2022;
589;Rosalie Calhoun;3;589;1-1-2022;
590;Keisha Barnett;4;590;1-1-2022;
591;Keziah Conley;1;591;1-1-2022;
592;Mathew Mcgowan;5;592;1-1-2022;
593;Yunus Conway;1;593;1-1-2022;
594;Zohaib Townsend;2;594;1-1-2022;
595;Arun Gould;2;595;1-1-2022;
596;Lina Holt;5;596;1-1-2022;
597;Earl Beard;2;597;1-1-2022;
598;Marshall Hernandez;3;598;1-1-2022;
599;Anas Duncan;4;599;1-1-2022;
600;Jordan Turner;1;600;1-1-2022;
601;Caoimhe Gomez;5;601;1-1-2022;
602;Thea Vargas;5;602;1-1-2022;
603;Safa Kane;1;603;1-1-2022;
604;Sienna Best;5;604;1-1-2022;
605;Lucinda Chavez;1;605;1-1-2022;
606;Kirsty Morrow;5;606;1-1-2022;
607;Samara Ball;4;607;1-1-2022;
608;Maggie Carroll;3;608;1-1-2022;
609;Nell Patrick;2;609;1-1-2022;
610;Daniella O'Quinn;3;610;1-1-2022;
611;Bryan Rojas;5;611;1-1-2022;
612;Jacqueline Newton;3;612;1-1-2022;
613;Dominik Taylor;4;613;1-1-2022;
